	Grp	Genus	Organism	1	2	2	3
	Grp	Genus	Organism	K10977(aksA)[106]	K16792(aksD)[105]	K16793(aksE)[120]	K10978(aksF)[105]
0	A.Eur	Methanocaldococcus	M mja	MJ_0503	MJ_1003	MJ_1271	MJ_1596
1	A.Eur	Methanocaldococcus	M mfe	Mefer_0710	Mefer_1231	Mefer_0048	Mefer_0957
2	A.Eur	Methanocaldococcus	M mvu	Metvu_1576	Metvu_1303	Metvu_0677Metvu_0864	Metvu_0752
3	A.Eur	Methanocaldococcus	M mfs	MFS40622_1791	MFS40622_1618	MFS40622_0660MFS40622_0030	MFS40622_0058
4	A.Eur	Methanocaldococcus	M mif	Metin_1354	Metin_0516	Metin_1437	Metin_0287
5	A.Eur	Methanocaldococcus	M mjh	JH146_1425	JH146_0954	JH146_0454	JH146_0764
6	A.Eur	Methanocaldococcus	M mesg	MLAUSG7_0108	MLAUSG7_0432	MLAUSG7_0025	MLAUSG7_1557
7	A.Eur	Methanocaldococcus	M mesa	MLASG1_1291	MLASG1_0006	MLASG1_1205	MLASG1_1116
8	A.Eur	Methanotorris	M mig	Metig_0696	Metig_0807	Metig_1570Metig_0050	Metig_0040
9	A.Eur	Methanococcus	M mmp	MMP0153	MMP1480	MMP0381	MMP0880
10	A.Eur	Methanococcus	M mmq	MmarC5_1522	MmarC5_0098	MmarC5_1257	MmarC5_0688
11	A.Eur	Methanococcus	M mmx	MmarC6_0797	MmarC6_1194	MmarC6_0529	MmarC6_1775
12	A.Eur	Methanococcus	M mmz	MmarC7_1153	MmarC7_0724	MmarC7_1379	MmarC7_0128
13	A.Eur	Methanococcus	M mmak	MMKA1_01580	MMKA1_17030	MMKA1_04000	MMKA1_09750
14	A.Eur	Methanococcus	M mmao	MMOS7_01840	MMOS7_15860	MMOS7_03940	MMOS7_09540
15	A.Eur	Methanococcus	M mmad	MMJJ_09310	MMJJ_13590	MMJJ_06580	MMJJ_01120
16	A.Eur	Methanococcus	M mae	Maeo_0994	Maeo_0311	Maeo_0652	Maeo_1484
17	A.Eur	Methanococcus	M mvn	Mevan_1158	Mevan_0789	Mevan_1368	Mevan_0040
18	A.Eur	Methanococcus	M mvo	Mvol_1568	Mvol_1623	Mvol_1671	Mvol_0791
19	A.Eur	Methanothermococcus	M mok	Metok_0640	Metok_0062	Metok_0567	Metok_1293
20	A.Eur	Methanofervidicoccus	M metf	CFE53_04770	CFE53_05095	CFE53_04745	CFE53_02585
21	A.Eur	Methanothermobacter	M mth	MTH_1630	MTH_1631	MTH_829	MTH_184
22	A.Eur	Methanothermobacter	M mmg	MTBMA_c02150	MTBMA_c02160	MTBMA_c12270	MTBMA_c06370
23	A.Eur	Methanothermobacter	M mwo	MWSIV6_0176	MWSIV6_0177	MWSIV6_1206	MWSIV6_0600
24	A.Eur	Methanothermobacter	M mtee	MTTB_13800	MTTB_13810	MTTB_05450	MTTB_08450
25	A.Eur	Methanothermobacter	M metc	MTCT_1489	MTCT_1490	MTCT_0743	MTCT_0151
26	A.Eur	Methanothermobacter	M mete	tca_01580	tca_01581	tca_00796	tca_00168
27	A.Eur	Methanothermobacter	M metz	METMT2_1469	METMT2_1470	METMT2_0903	METMT2_0650
28	A.Eur	Methanothermobacter	M metk	FVF72_03475	FVF72_03470	FVF72_07395	FVF72_01360
29	A.Eur	Methanothermobacter	M mthm	FZP57_00770	FZP57_00775	FZP57_05725	FZP57_02855
30	A.Eur	Methanosphaera	M mst	Msp_1099	Msp_1100	Msp_0374	Msp_0674
31	A.Eur	Methanosphaera	M metb	AW729_10320	AW729_10315	AW729_05200	AW729_04705
32	A.Eur	Methanobrevibacter	M mru	mru_0385	mru_0384	mru_1689	mru_1033
33	A.Eur	Methanobrevibacter	M msi	Msm_0722	Msm_0723	Msm_0847	Msm_0373
34	A.Eur	Methanobrevibacter	M meb	Abm4_0181	Abm4_0180	Abm4_0514	Abm4_0999
35	A.Eur	Methanobrevibacter	M mmil	sm9_2160	sm9_2161	sm9_1773	sm9_0644
36	A.Eur	Methanobrevibacter	M meye	TL18_01070	TL18_01065	TL18_07930	TL18_03130
37	A.Eur	Methanobrevibacter	M mol	YLM1_0056	YLM1_0055	YLM1_1157	YLM1_0578
38	A.Eur	Methanobrevibacter	M maro	MarbSA_09070MarbSA_13810	MarbSA_13800	MarbSA_18800	MarbSA_20290
