	Grp	Genus	Organism	1	1	1	1	1	1	1	1	1	2	2	2
	Grp	Genus	Organism	K10944(pmoA-amoA)[61]	K10945(pmoB-amoB)[60]	K10946(pmoC-amoC)[89]	K16157(mmoX)[15]	K16158(mmoY)[15]	K16159(mmoZ)[15]	K16160(mmoB)[15]	K16161(mmoC)[15]	K16162(mmoD)[15]	K14028(mdh1)[28]	K14029(mdh2)[27]	K23995(xoxF)[54]
0	B.Gam	Methylococcus	M mca	MCA1797MCA2854	MCA1796MCA2853	MCA0295MCA1798MCA2855	MCA1194	MCA1195	MCA1198	MCA1196	MCA1200	MCA1199	MCA0779	MCA0782	MCA0299
1	B.Gam	Methylococcus	M metu	GNH96_03570GNH96_09690	GNH96_03575GNH96_09695	GNH96_01890GNH96_03565GNH96_09685	GNH96_11980	GNH96_11975	GNH96_11965	GNH96_11970	GNH96_11955	GNH96_11960	GNH96_04380	GNH96_04395	GNH96_01870
2	B.Gam	Methylomonas	M mmt	Metme_0304	Metme_0305	Metme_0303	Metme_1649	Metme_1650	Metme_1652	Metme_1651	Metme_1654	Metme_1653	Metme_4317	Metme_4320	Metme_1518
3	B.Gam	Methylomonas	M mdn	JT25_012445JT25_004545	JT25_012450JT25_004540	JT25_012440JT25_004535							JT25_020965	JT25_020980	JT25_014335
4	B.Gam	Methylomonas	M mdh	AYM39_19770AYM39_18580	AYM39_19765AYM39_18585	AYM39_19775AYM39_18590							AYM39_15615	AYM39_15600	AYM39_03800
5	B.Gam	Methylomonas	M mko	MKLM6_3758MKLM6_3997	MKLM6_3759MKLM6_3996	MKLM6_3760MKLM6_3998							MKLM6_3210	MKLM6_3207	MKLM6_0794
6	B.Gam	Methylomonas	M metl	U737_00525U737_22530	U737_00530U737_22525	U737_00535U737_22535	U737_00805	U737_00800	U737_00790	U737_00795	U737_00780	U737_00785	U737_12050	U737_12035	U737_19560
7	B.Gam	Methylomonas	M mpad	KEF85_15100KEF85_05595	KEF85_15095KEF85_05600	KEF85_15105KEF85_05605							KEF85_12465	KEF85_12450	KEF85_13950KEF85_10445
8	B.Gam	Methylomonas	M mell	IVG45_01190IVG45_17415	IVG45_01185IVG45_17420	IVG45_01180IVG45_17410	IVG45_15800	IVG45_15805	IVG45_15815	IVG45_15810	IVG45_15825	IVG45_15820	IVG45_11205	IVG45_11190	IVG45_02000IVG45_12690
9	B.Gam	Methylomonas	M mrp	NM686_001765	NM686_001770	NM686_001760							NM686_017370	NM686_017355	NM686_007660
10	B.Gam	Methylotuvimicrobium	M mah	MEALZ_0515	MEALZ_0516	MEALZ_0514							MEALZ_3448	MEALZ_3445	MEALZ_3497
11	B.Gam	Methylotuvimicrobium	M mbur	EQU24_19305	EQU24_19300	EQU24_19310	EQU24_05885	EQU24_05890	EQU24_05900	EQU24_05895	EQU24_05910	EQU24_05905	EQU24_18145	EQU24_18130	EQU24_18605
12	B.Gam	Methylovulum	M mpsy	CEK71_17435	CEK71_17440	CEK71_17430							CEK71_12435	CEK71_12450	CEK71_20830CEK71_18090
13	B.Gam	Methylocaldum	M mmai	sS8_1788sS8_3977	sS8_1787sS8_3978	sS8_1789sS8_2529sS8_4878sS8_3976sS8_3418	sS8_0770	sS8_0769	sS8_0767	sS8_0768	sS8_0764	sS8_0765	sS8_1436	sS8_1433	sS8_0935sS8_2523sS8_1979
14	B.Gam	Methylospira	M mmob	F6R98_01475F6R98_16060	F6R98_01480F6R98_16055	F6R98_01470F6R98_16065	F6R98_10915	F6R98_10910	F6R98_10900	F6R98_10905	F6R98_10890	F6R98_10895	F6R98_08155	F6R98_08170	F6R98_11505F6R98_16780
15	B.Gam	Methyloprofundus	M mein	methR_P0112	methR_P0113	methR_P0111									methR_P0358
16	B.Gam	Methylogaea	M moz	MoryE10_29180MoryE10_29210	MoryE10_29170MoryE10_29200	MoryE10_09800MoryE10_22390MoryE10_29190MoryE10_29220							MoryE10_30890	MoryE10_30860	MoryE10_30670
17	B.Gam	Methylomagnum	M misz	MishRS11D_20920MishRS11D_40480MishRS11D_42080	MishRS11D_20930MishRS11D_40470MishRS11D_42090	MishRS11D_10350MishRS11D_20910MishRS11D_40490MishRS11D_42100	MishRS11D_39930	MishRS11D_39920	MishRS11D_39900	MishRS11D_39910	MishRS11D_39880	MishRS11D_39890	MishRS11D_34140	MishRS11D_34170	MishRS11D_09070MishRS11D_10310
18	B.Gam	Methylobacter	M mesl	KKZ03_06640	KKZ03_06645	KKZ03_06635	KKZ03_11695	KKZ03_11700	KKZ03_11710	KKZ03_11705	KKZ03_11720	KKZ03_11715	KKZ03_11810	KKZ03_11825	KKZ03_00565
19	B.Gam	Nitrosococcus	M nhl	Nhal_0676	Nhal_0677	Nhal_0675									Nhal_3866
20	B.Alp	Methylocella	M msl				Msil_1262	Msil_1263	Msil_1265	Msil_1264	Msil_1267	Msil_1266	Msil_0471	Msil_0474	Msil_3149Msil_1587Msil_3387Msil_2260
