	Grp	Genus	Organism	1	1	1	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
	Grp	Genus	Organism	K14080(mtaA)[158]	K04480(mtaB)[109]	K14081(mtaC)[113]	K00399(mcrA)[48]	K00401(mcrB)[48]	K00402(mcrG)[48]	K22480(hdrA1)[36]	K22481(hdrB1)[37]	K22482(hdrC1)[37]	K03388(hdrA2)[50]	K03389(hdrB2)[50]	K03390(hdrC2)[50]	K08264(hdrD)[49]	K08265(hdrE)[33]	K03388(hdrA2)[50].1	K03389(hdrB2)[50].1	K03390(hdrC2)[50].1	K14127(mvhD)[22]	K14126(mvhA)[16]	K14128(mvhG)[16]	K22516(fdhA)[19]	K00125(fdhB)[18]
0	A.Eur	Methanosphaera	M mst	Msp_0112Msp_0182Msp_0761Msp_0774	Msp_0186Msp_0184Msp_0819Msp_0188	Msp_0187Msp_0189Msp_0185Msp_0818	Msp_0321	Msp_0318	Msp_0320	Msp_0127	Msp_0126	Msp_0125	Msp_1476	Msp_1013	Msp_1014			Msp_1476	Msp_1013	Msp_1014	Msp_0638Msp_0314	Msp_0316	Msp_0315	Msp_0640	Msp_0639
1	A.Eur	Methanosphaera	M metb	AW729_10490AW729_06195AW729_02405	AW729_06185AW729_03460	AW729_06180AW729_03465	AW729_05480	AW729_05495	AW729_05485	AW729_06500	AW729_06505	AW729_06510	AW729_07990	AW729_10830	AW729_10825			AW729_07990	AW729_10830	AW729_10825	AW729_05515AW729_02750	AW729_05505	AW729_05510	AW729_02760	AW729_02755
2	A.Eur	Methanobrevibacter	M msi	Msm_0518	Msm_0515	Msm_0516	Msm_0902Msm_1015	Msm_1019Msm_0905	Msm_1016Msm_0903	Msm_0082	Msm_0083	Msm_0084	Msm_1336	Msm_0795	Msm_0796			Msm_1336	Msm_0795	Msm_0796	Msm_1461Msm_1001	Msm_0999	Msm_1000	Msm_1404Msm_1463	Msm_1462Msm_1405
3	A.Eur	Methanobrevibacter	M maro	MarbSA_04020	MarbSA_04050	MarbSA_04040	MarbSA_15420	MarbSA_15380	MarbSA_15410	MarbSA_15570	MarbSA_01720MarbSA_15580	MarbSA_01730MarbSA_15590	MarbSA_12720	MarbSA_07060	MarbSA_07070			MarbSA_12720	MarbSA_07060	MarbSA_07070	MarbSA_15620	MarbSA_15640	MarbSA_15630	MarbSA_13560	MarbSA_13570
4	A.Eur	Methanobrevibacter	M metv	K4897_03100	K4897_03085	K4897_03090	K4897_06390	K4897_06370	K4897_06385	K4897_00835	K4897_00840	K4897_00845	K4897_04645	K4897_07520	K4897_07515	K4897_09005		K4897_04645	K4897_07520	K4897_07515	K4897_06460K4897_08130	K4897_06470	K4897_06465	K4897_04275K4897_08140	K4897_04270K4897_08135
5	A.Eur	Methanobacterium	M mel	Metbo_1025	Metbo_1023	Metbo_1022	Metbo_0353Metbo_2281	Metbo_0349Metbo_2278	Metbo_0352Metbo_2280	Metbo_1205Metbo_2477	Metbo_1206Metbo_2478Metbo_1249	Metbo_1207Metbo_2479	Metbo_0164	Metbo_0701	Metbo_0700			Metbo_0164	Metbo_0701	Metbo_0700	Metbo_0368	Metbo_0370Metbo_0639	Metbo_0369Metbo_0640		
6	A.Eur	Methanobacterium	M mew	MSWAN_1084	MSWAN_1082	MSWAN_1081	MSWAN_2056	MSWAN_2060	MSWAN_2057	MSWAN_1005MSWAN_0048	MSWAN_1004MSWAN_0047	MSWAN_1003MSWAN_0046	MSWAN_2320	MSWAN_1552	MSWAN_1553	MSWAN_1269		MSWAN_2320	MSWAN_1552	MSWAN_1553	MSWAN_2040MSWAN_0114	MSWAN_2038MSWAN_1717	MSWAN_2039MSWAN_1716	MSWAN_0116	MSWAN_0113MSWAN_0115
7	A.Eur	Methanobacterium	M mcub	MCBB_1152	MCBB_1154	MCBB_1155	MCBB_1985	MCBB_1989	MCBB_1986	MCBB_1057	MCBB_1056	MCBB_1055	MCBB_2243	MCBB_1489	MCBB_1490			MCBB_2243	MCBB_1489	MCBB_1490	MCBB_1968MCBB_2030	MCBB_1580MCBB_1966	MCBB_1579MCBB_1967	MCBB_2028	MCBB_2031MCBB_2029
