	Grp	Genus	Organism	1	1	1	1	2	2	3
	Grp	Genus	Organism	K08093(hxlA)[562]	K13812(fae-hps)[3]	K08094(hxlB)[580]	K13831(hps-phi)[6]	K00850(pfkA)[501]	K16370(pfkB)[70]	K01624(FBA)[751]
0	B.GamE	Escherichia	M eum	ECUMN_2963		ECUMN_2964		ECUMN_4444	ECUMN_2012	ECUMN_3270
1	B.GamE	Salmonella	M stm	STM2755		STM2756		STM4062	STM1326	STM3068
2	B.GamE	Salmonella	M seo	STM14_3320		STM14_3321		STM14_4885	STM14_1610	STM14_3708
3	B.GamE	Salmonella	M sev	STMMW_27231		STMMW_27241		STMMW_40271	STMMW_13331	STMMW_30291
4	B.GamE	Salmonella	M sey	SL1344_2739		SL1344_2740		SL1344_4011	SL1344_1261	SL1344_3044
5	B.GamE	Salmonella	M sem	STMDT12_C28070		STMDT12_C28080		STMDT12_C42090	STMDT12_C13430	STMDT12_C31210
6	B.GamE	Salmonella	M sej	STMUK_2743		STMUK_2744		STMUK_4047	STMUK_1293	STMUK_3056
7	B.GamE	Salmonella	M seb	STM474_2890		STM474_2891		STM474_4244	STM474_1331	STM474_3215
8	B.GamE	Salmonella	M sef	UMN798_2989		UMN798_2990		UMN798_4406	UMN798_1383	UMN798_3336
9	B.GamE	Salmonella	M setu	STU288_13940		STU288_13945		STU288_20460	STU288_02955	STU288_15525
10	B.GamE	Salmonella	M setc	CFSAN001921_033		CFSAN001921_033		CFSAN001921_201	CFSAN001921_105	CFSAN001921_016
11	B.GamE	Salmonella	M senr	STMDT2_26611		STMDT2_26621		STMDT2_39251	STMDT2_12591	STMDT2_29641
12	B.GamE	Salmonella	M send	DT104_27571		DT104_27581		DT104_40711	DT104_13031	DT104_30651
13	B.GamE	Salmonella	M seni	CY43_14395		CY43_14400		CY43_21245	CY43_06755	CY43_16000
14	B.GamE	Salmonella	M seh	SeHA_C2929		SeHA_C3252SeHA_C2930		SeHA_C4393	SeHA_C1455	SeHA_C3305
15	B.GamE	Salmonella	M shb	SU5_03243		SU5_03244SU5_03524		SU5_0160	SU5_01945	SU5_03569
16	B.GamE	Salmonella	M senh	CFSAN002069_185		CFSAN002069_185CFSAN002069_170		CFSAN002069_117	CFSAN002069_023	CFSAN002069_168
