	Grp	Genus	Organism	1	1	1	1	1	1	1	1	2	3	4	4	5	6	6	6	6	6	6	6	6	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
	Grp	Genus	Organism	K00200(fwdA)[172]	K00201(fwdB)[254]	K00202(fwdC)[183]	K00203(fwdD)[199]	K11261(fwdE)[197]	K00205(fwdF)[181]	K11260(fwdG)[131]	K00204(fwdH)[54]	K00672(ftr)[140]	K01499(mch)[112]	K00319(mtd)[104]	K13942(hmd)[47]	K00320(mer)[105]	K00577(mtrA)[206]	K00578(mtrB)[105]	K00579(mtrC)[105]	K00580(mtrD)[104]	K00581(mtrE)[104]	K00582(mtrF)[86]	K00583(mtrG)[91]	K00584(mtrH)[140]	K00399(mcrA)[137]	K00401(mcrB)[137]	K00402(mcrG)[137]	K22480(hdrA1)[48]	K22481(hdrB1)[50]	K22482(hdrC1)[49]	K03388(hdrA2)[137]	K03389(hdrB2)[125]	K03390(hdrC2)[126]	K08264(hdrD)[57]	K08265(hdrE)[36]	K03388(hdrA2)[137].1	K03389(hdrB2)[125].1	K03390(hdrC2)[126].1	K14127(mvhD)[109]	K14126(mvhA)[91]	K14128(mvhG)[91]	K22516(fdhA)[139]	K00125(fdhB)[134]
0	A.Eur	Methanocaldococcus	M mfe	Mefer_0155	Mefer_0243	Mefer_0153	Mefer_0156	Mefer_0555	Mefer_0158	Mefer_0157	Mefer_0159	Mefer_1275	Mefer_1327	Mefer_1257	Mefer_0990	Mefer_1535	Mefer_0943Mefer_0944	Mefer_0942	Mefer_0941	Mefer_0940	Mefer_0939		Mefer_0945	Mefer_0946	Mefer_0938	Mefer_0934	Mefer_0937				Mefer_0237	Mefer_1123	Mefer_1124Mefer_1062			Mefer_0237	Mefer_1123	Mefer_1124Mefer_1062	Mefer_0238	Mefer_0240	Mefer_0239	Mefer_0653Mefer_1009	Mefer_0654
1	A.Eur	Methanocaldococcus	M mvu	Metvu_0799	Metvu_0713Metvu_1491	Metvu_0797	Metvu_0800	Metvu_0708	Metvu_0802	Metvu_0801	Metvu_0803	Metvu_0497	Metvu_1361	Metvu_0302	Metvu_0027	Metvu_0160	Metvu_0154	Metvu_0153	Metvu_0152	Metvu_0151	Metvu_0150	Metvu_0155	Metvu_0156	Metvu_0157	Metvu_0149Metvu_1194	Metvu_0145Metvu_1192	Metvu_0148Metvu_1193				Metvu_1485Metvu_0714	Metvu_0280Metvu_0442	Metvu_0443Metvu_0281			Metvu_1485Metvu_0714	Metvu_0280Metvu_0442	Metvu_0443Metvu_0281	Metvu_1486Metvu_0718	Metvu_1488Metvu_0716	Metvu_0717Metvu_1487	Metvu_1163Metvu_0711	Metvu_0710
2	A.Eur	Methanocaldococcus	M mfs	MFS40622_0802MFS40622_1782	MFS40622_0208MFS40622_0826MFS40622_1780	MFS40622_0804MFS40622_1781	MFS40622_0801	MFS40622_1783MFS40622_0300	MFS40622_0799MFS40622_1784	MFS40622_1785MFS40622_0800	MFS40622_0798	MFS40622_1090	MFS40622_0639	MFS40622_1652	MFS40622_1391	MFS40622_0752	MFS40622_1310	MFS40622_1311	MFS40622_1312	MFS40622_1313	MFS40622_1314	MFS40622_1309	MFS40622_1308	MFS40622_1307	MFS40622_0424MFS40622_1315	MFS40622_0426MFS40622_1319	MFS40622_1316MFS40622_0425				MFS40622_0209MFS40622_0820	MFS40622_1299	MFS40622_1298			MFS40622_0209MFS40622_0820	MFS40622_1299	MFS40622_1298	MFS40622_0821MFS40622_0213	MFS40622_0823MFS40622_0211	MFS40622_0212MFS40622_0822	MFS40622_0236MFS40622_0207	MFS40622_0206MFS40622_0235
3	A.Eur	Methanocaldococcus	M mif	Metin_1132	Metin_0387	Metin_1134	Metin_1131		Metin_1129	Metin_1130	Metin_1128	Metin_0870	Metin_0908	Metin_0918	Metin_0843	Metin_0159	Metin_0276	Metin_0277	Metin_0278	Metin_0279	Metin_0280	Metin_0275	Metin_0274	Metin_0273	Metin_0281	Metin_0285	Metin_0282				Metin_0381	Metin_0496	Metin_0497			Metin_0381	Metin_0496	Metin_0497	Metin_0382	Metin_0384	Metin_0383		
4	A.Eur	Methanocaldococcus	M mjh	JH146_1420JH146_0673	JH146_1417JH146_0648	JH146_1419JH146_0671	JH146_0674	JH146_1421JH146_0110	JH146_0676	JH146_0675	JH146_0677	JH146_0889	JH146_0538	JH146_0907	JH146_1110	JH146_0139	JH146_1049	JH146_1050JH146_1052	JH146_1051JH146_1053	JH146_1054	JH146_1055		JH146_1048	JH146_1047	JH146_0503JH146_1056	JH146_0505JH146_1060	JH146_0504JH146_1057				JH146_0654	JH146_1037	JH146_1036			JH146_0654	JH146_1037	JH146_1036		JH146_0651	JH146_0652	JH146_0247JH146_0280	JH146_0281
5	A.Eur	Methanocaldococcus	M mesg	MLAUSG7_0781	MLAUSG7_1066	MLAUSG7_0779	MLAUSG7_0782		MLAUSG7_0784	MLAUSG7_0783	MLAUSG7_0785	MLAUSG7_1535	MLAUSG7_0104	MLAUSG7_1174	MLAUSG7_0273	MLAUSG7_0920	MLAUSG7_0348	MLAUSG7_0349	MLAUSG7_0350	MLAUSG7_0351	MLAUSG7_0352		MLAUSG7_0346	MLAUSG7_0345	MLAUSG7_0353	MLAUSG7_0357	MLAUSG7_0354				MLAUSG7_1058	MLAUSG7_0227MLAUSG7_1015	MLAUSG7_0226MLAUSG7_1016			MLAUSG7_1058	MLAUSG7_0227MLAUSG7_1015	MLAUSG7_0226MLAUSG7_1016		MLAUSG7_1062	MLAUSG7_1061	MLAUSG7_0307MLAUSG7_0838	MLAUSG7_0837
6	A.Eur	Methanocaldococcus	M mesa	MLASG1_0412	MLASG1_0714	MLASG1_0414	MLASG1_0411		MLASG1_0409	MLASG1_0410	MLASG1_0408	MLASG1_1139	MLASG1_1287	MLASG1_0617	MLASG1_1401	MLASG1_0449	MLASG1_1527	MLASG1_1528	MLASG1_1529	MLASG1_1530	MLASG1_1531		MLASG1_1525	MLASG1_1524	MLASG1_1532	MLASG1_1536	MLASG1_1533				MLASG1_0721	MLASG1_0762MLASG1_1448	MLASG1_0761MLASG1_1449			MLASG1_0721	MLASG1_0762MLASG1_1448	MLASG1_0761MLASG1_1449	MLASG1_0720	MLASG1_0718	MLASG1_0719	MLASG1_0357MLASG1_1372	MLASG1_0358
7	A.Eur	Methanotorris	M mig	Metig_0472Metig_0320	Metig_1194Metig_0931Metig_0322	Metig_0473Metig_0321	Metig_0471	Metig_0319Metig_0293	Metig_0469	Metig_0470	Metig_0468	Metig_0697	Metig_0087		Metig_1130	Metig_1293	Metig_1242Metig_1243	Metig_1241	Metig_1240	Metig_1239	Metig_1238		Metig_1244	Metig_1245	Metig_1237Metig_0445	Metig_1233Metig_0442	Metig_1236Metig_0444				Metig_1195Metig_0926	Metig_0266Metig_0423	Metig_0267Metig_0422			Metig_1195Metig_0926	Metig_0266Metig_0423	Metig_0267Metig_0422	Metig_0927Metig_1199	Metig_0929Metig_1197	Metig_1198Metig_0928	Metig_0762Metig_1192	Metig_1191
