	Grp	Genus	Organism	1	2	3	4	5	6	7	8	8	9
	Grp	Genus	Organism	K00600(glyA)[64]	K00830(AGXT)[64]	K00018(hprA)[48]	K11529(gck)[63]	K01689(ENO)[54]	K01595(ppc)[84]	K00024(mdh)[50]	K08692(mtkB)[48]	K14067(mtkA)[48]	K08691(mcl)[74]
0	B.Bet	Methylibium	M mpt	Mpe_A2938Mpe_A3262	Mpe_A3261	Mpe_A3260	Mpe_A0976Mpe_A3263	Mpe_A2847	Mpe_A3003Mpe_A3255	Mpe_A2172Mpe_B0497	Mpe_A3256	Mpe_A3257	Mpe_A3254
1	B.Bet	Methylibium	M metp	C1M51_05935C1M51_14050	C1M51_05930	C1M51_05925	C1M51_05940C1M51_04370	C1M51_03985	C1M51_05900C1M51_04615	C1M51_16820	C1M51_05905	C1M51_05910	C1M51_05895
2	B.Bet	Nitrosomonas	M net	Neut_1552	Neut_0200	Neut_2243	Neut_2458	Neut_2482	Neut_1036	Neut_1633	Neut_0605	Neut_0606	Neut_0607
3	B.Bet	Nitrosomonas	M nit	NAL212_2908	NAL212_0299	NAL212_0587	NAL212_0695	NAL212_1854	NAL212_0449	NAL212_2821	NAL212_0422	NAL212_0421	NAL212_0420
4	B.Bet	Nitrosomonas	M nii	Nit79A3_0161	Nit79A3_0673	Nit79A3_3091	Nit79A3_3175	Nit79A3_2094	Nit79A3_0126	Nit79A3_1154	Nit79A3_0105	Nit79A3_0104	Nit79A3_0103
5	B.Bet	Nitrosomonas	M nco	AAW31_16175	AAW31_05070	AAW31_13000	AAW31_00520	AAW31_02750	AAW31_09190	AAW31_11350	AAW31_08295	AAW31_08290	AAW31_08285
6	B.Bet	Nitrosomonas	M nur	ATY38_05925	ATY38_04195	ATY38_02960	ATY38_02450	ATY38_14520	ATY38_03580	ATY38_06300	ATY38_03745	ATY38_03750	ATY38_03755
7	B.Bet	Nitrosomonas	M nst	Nstercoris_0151	Nstercoris_0108	Nstercoris_0225	Nstercoris_0079	Nstercoris_0097	Nstercoris_0020	Nstercoris_0003	Nstercoris_0182	Nstercoris_0183	Nstercoris_0183
8	B.Bet	Nitrosospira	M nlc	EBAPG3_002540	EBAPG3_003685	EBAPG3_011935	EBAPG3_014285	EBAPG3_007720	EBAPG3_002960	EBAPG3_006400EBAPG3_006530	EBAPG3_012570	EBAPG3_012575	EBAPG3_012580
9	B.Bet	Methyloversatilis	M metr	BSY238_257	BSY238_258	BSY238_259	BSY238_2867	BSY238_268	BSY238_2762BSY238_254	BSY238_311	BSY238_255	BSY238_256	BSY238_253
10	B.Bet	Ferrovum	M fmy	HO273_03870	HO273_03875HO273_09310	HO273_03880	HO273_03865	HO273_06325	HO273_08185	HO273_02575	HO273_03890	HO273_03885	HO273_03895
11	B.Alp	Methylorubrum	M mea	Mex_1p3384	Mex_1p1726Mex_1p4592	Mex_1p1727	Mex_1p2748Mex_1p2944Mex_2p0139	Mex_1p2984	Mex_1p4982Mex_1p1732	Mex_1p1537	Mex_1p1731	Mex_1p1730	Mex_1p1733Mex_1p4295
12	B.Alp	Methylorubrum	M mdi	METDI3959	METDI2478METDI5202	METDI2479	METDI1374METDI3513	METDI3551	METDI2484METDI5584	METDI2311	METDI2483	METDI2482	METDI2485METDI4906
13	B.Alp	Methylorubrum	M mex	Mext_3171	Mext_1795Mext_4200	Mext_1796	Mext_0771Mext_2747	Mext_2784	Mext_4533Mext_1801	Mext_1643	Mext_1800	Mext_1799	Mext_1802Mext_3917
14	B.Alp	Methylorubrum	M mch	Mchl_3495	Mchl_2131Mchl_4570	Mchl_2132	Mchl_5683Mchl_2974Mchl_1042	Mchl_3012	Mchl_4993Mchl_2137	Mchl_1925	Mchl_2136	Mchl_2135	Mchl_2138Mchl_4285
15	B.Alp	Methylorubrum	M mpo	Mpop_3366	Mpop_1747Mpop_4717	Mpop_1748	Mpop_4659Mpop_2869	Mpop_2907	Mpop_1753Mpop_5046	Mpop_1587	Mpop_1752	Mpop_1751	Mpop_1754Mpop_4390
16	B.Alp	Methylobacterium	M mrd	Mrad2831_3956	Mrad2831_3670Mrad2831_6210	Mrad2831_3669	Mrad2831_0126	Mrad2831_0984	Mrad2831_5111Mrad2831_3664	Mrad2831_0919	Mrad2831_3665	Mrad2831_3666	Mrad2831_3663Mrad2831_1650
17	B.Alp	Methylobacterium	M met	M446_3104M446_5373	M446_3486M446_4373M446_6552	M446_6553	M446_5205	M446_5894M446_0125	M446_6558M446_4569	M446_2161	M446_6557	M446_6556	M446_6559M446_6315
