	Grp	Genus	Organism	1	2	3	4	4
	Grp	Genus	Organism	K08097(comA)[57]	K05979(comB)[54]	K05884(comC)[53]	K13039(comE)[53]	K06034(comD)[53]
0	B.FirC	Formimonas	M fwa	DCMF_23970DCMF_24000DCMF_24020DCMF_00480DCMF_06185	DCMF_23230	DCMF_19385	DCMF_18480	DCMF_18475
1	A.Eur	Methanocaldococcus	M mfe	Mefer_0102	Mefer_0815	Mefer_1396	Mefer_0100	Mefer_0101
2	A.Eur	Methanocaldococcus	M mvu	Metvu_1522	Metvu_0374	Metvu_0738	Metvu_1181	Metvu_1521
3	A.Eur	Methanocaldococcus	M mfs	MFS40622_0491	MFS40622_0766	MFS40622_0628	MFS40622_0489	MFS40622_0490
4	A.Eur	Methanocaldococcus	M mif	Metin_1007	Metin_0218	Metin_0176	Metin_1211	Metin_1385
5	A.Eur	Methanocaldococcus	M mjh	JH146_0170	JH146_0706	JH146_0548	JH146_0168	JH146_0169
6	A.Eur	Methanocaldococcus	M mesg	MLAUSG7_1546	MLAUSG7_1037	MLAUSG7_0644	MLAUSG7_1544	MLAUSG7_1545
7	A.Eur	Methanocaldococcus	M mesa	MLASG1_1128	MLASG1_0740	MLASG1_0181	MLASG1_1130	MLASG1_1129
8	A.Eur	Methanotorris	M mig	Metig_0856	Metig_0564	Metig_0716	Metig_0933	Metig_1689
9	A.Eur	Methanococcus	M mmp	MMP0273	MMP0161	MMP1133	MMP1689	MMP0411
10	A.Eur	Methanococcus	M mmq	MmarC5_1399	MmarC5_1514	MmarC5_0451	MmarC5_1717	MmarC5_1227
11	A.Eur	Methanococcus	M mmx	MmarC6_0679	MmarC6_0789	MmarC6_1534	MmarC6_0982	MmarC6_0499
12	A.Eur	Methanococcus	M mmz	MmarC7_1277	MmarC7_1161	MmarC7_0385	MmarC7_0964	MmarC7_1409
13	A.Eur	Methanococcus	M mmd	GYY_01400	GYY_00825	GYY_06515	GYY_09305	GYY_02125
14	A.Eur	Methanococcus	M mmak	MMKA1_02800	MMKA1_01660	MMKA1_13120	MMKA1_19230	MMKA1_04300
15	A.Eur	Methanococcus	M mmao	MMOS7_03070	MMOS7_01920	MMOS7_12420	MMOS7_18040	MMOS7_04260
16	A.Eur	Methanococcus	M mmad	MMJJ_07850	MMJJ_09230	MMJJ_17120	MMJJ_11400	MMJJ_06260
17	A.Eur	Methanococcus	M mae	Maeo_0153	Maeo_1002	Maeo_1015	Maeo_1219	Maeo_1187
18	A.Eur	Methanococcus	M mvn	Mevan_1285	Mevan_1166	Mevan_0455	Mevan_0991	Mevan_1399
19	A.Eur	Methanococcus	M mvo	Mvol_1330	Mvol_1551	Mvol_0905	Mvol_1271	Mvol_1648
20	A.Eur	Methanothermococcus	M mok	Metok_0167	Metok_0647	Metok_0546	Metok_0816	Metok_0760
21	A.Eur	Methanothermobacter	M mth	MTH_1674	MTH_1182	MTH_1205	MTH_1207	MTH_1206
22	A.Eur	Methanothermobacter	M mmg	MTBMA_c02530	MTBMA_c15590	MTBMA_c15830	MTBMA_c15850	MTBMA_c15840
23	A.Eur	Methanothermobacter	M mwo	MWSIV6_0212	MWSIV6_1574	MWSIV6_1598	MWSIV6_1600	MWSIV6_1599
24	A.Eur	Methanothermobacter	M mtee	MTTB_14140	MTTB_02470	MTTB_02220	MTTB_02200	MTTB_02210
25	A.Eur	Methanothermobacter	M metc	MTCT_1527	MTCT_1075	MTCT_1098	MTCT_1100	MTCT_1099
